fluctuate,trend,shock,up_value,up_prob,count,price,last_time
5.14,3.95,0.37,1.92,0.0,8.0,-1869.0,2022-05-06 09:38:00
1.95,0.69,0.67,0.44,-0.2,5.0,-1870.0,2022-05-06 10:13:00
2.42,0.98,0.59,-0.47,0.0,2.0,-1871.0,2022-05-04 00:49:00
3.85,2.32,0.36,1.07,0.33,3.0,-1872.0,2022-05-05 02:12:00
6.42,2.62,0.47,-1.5,-0.5,4.0,-1873.0,2022-05-06 08:49:00
3.44,2.2,0.33,1.54,0.67,6.0,-1874.0,2022-05-06 10:49:00
2.73,1.74,0.37,1.17,0.67,6.0,-1875.0,2022-05-06 16:11:00
2.45,0.94,0.64,-0.66,-0.38,13.0,-1876.0,2022-05-06 14:38:00
2.46,1.71,0.39,0.66,0.5,4.0,-1877.0,2022-05-06 11:59:00
2.2,1.1,0.56,0.52,-0.2,5.0,-1878.0,2022-05-06 16:28:00
2.89,1.8,0.4,-0.76,-0.5,4.0,-1879.0,2022-05-06 03:46:00
2.41,0.69,0.72,0.33,-0.33,3.0,-1880.0,2022-05-06 16:37:00
4.58,1.91,0.58,0.45,0.0,2.0,-1881.0,2022-05-05 23:19:00
4.07,2.28,0.56,1.55,0.5,4.0,-1882.0,2022-05-06 20:03:00
4.69,2.63,0.5,2.44,0.75,8.0,-1883.0,2022-05-06 19:17:00
3.29,2.09,0.29,0.4,0.11,9.0,-1884.0,2022-05-06 19:45:00
4.45,1.11,0.74,0.64,0.6,5.0,-1885.0,2022-05-05 03:02:00
2.35,1.21,0.49,0.32,0.0,14.0,-1886.0,2022-05-05 22:43:00
2.82,1.3,0.53,-0.08,0.11,9.0,-1887.0,2022-05-05 22:43:00
3.77,1.27,0.68,0.4,0.5,8.0,-1888.0,2022-05-05 22:13:00
3.18,1.97,0.44,-0.89,-0.23,13.0,-1889.0,2022-05-05 22:28:00
3.75,0.86,0.51,0.86,1.0,2.0,-1890.0,2022-05-05 22:24:00
4.43,1.88,0.51,-1.37,-0.33,9.0,-1891.0,2022-05-05 22:24:00
2.44,1.34,0.7,-1.31,-0.5,4.0,-1892.0,2022-05-02 09:30:00
5.78,0.86,0.87,0.36,-0.33,3.0,-1893.0,2022-05-05 22:03:00
5.2,2.44,0.58,0.95,0.33,9.0,-1894.0,2022-05-05 21:56:00
2.4,0.93,0.6,0.3,0.38,16.0,-1895.0,2022-05-05 15:16:00
3.16,1.68,0.5,-0.67,-0.56,9.0,-1896.0,2022-05-05 15:12:00
2.81,1.64,0.45,0.91,0.45,11.0,-1897.0,2022-05-05 19:45:00
3.64,1.6,0.54,-0.15,0.06,17.0,-1898.0,2022-05-05 19:59:00
2.58,1.01,0.63,-0.44,-0.09,11.0,-1899.0,2022-05-05 21:42:00
4.68,2.71,0.45,-0.58,0.17,12.0,-1900.0,2022-05-05 21:41:00
3.08,1.68,0.55,-0.53,-0.57,14.0,-1901.0,2022-05-05 13:47:00
4.04,2.02,0.58,-0.1,0.33,6.0,-1902.0,2022-05-05 09:51:00
2.71,1.24,0.59,-0.87,-0.43,14.0,-1903.0,2022-05-05 21:30:00
2.9,1.36,0.62,-0.06,-0.25,8.0,-1904.0,2022-05-05 21:19:00
3.36,2.24,0.42,-1.32,0.0,6.0,-1905.0,2022-04-29 12:48:00
2.51,1.34,0.55,0.01,0.0,10.0,-1906.0,2022-04-27 08:06:00
3.55,2.11,0.47,-0.41,0.14,14.0,-1907.0,2022-05-05 20:59:00
4.35,3.13,0.4,-2.62,-0.33,3.0,-1908.0,2022-05-05 21:07:00
3.94,1.99,0.52,0.46,0.14,7.0,-1909.0,2022-04-30 00:28:00
